Datetime,Region,Total de Clientes,Clientes sin Servicio
9/18/22 18:48,Arecibo,177369,150226
9/18/22 18:48,Bayamon,216496,136388
9/18/22 18:48,Carolina,141663,99006
9/18/22 18:48,Caguas,250514,198851
9/18/22 18:48,Mayaguez,216605,131690
9/18/22 18:48,Ponce,212508,129872
9/18/22 18:48,San Juan,253068,76574
9/18/22 19:24,Arecibo,177369,150226
9/18/22 19:24,Bayamon,216496,136388
9/18/22 19:24,Carolina,141663,99006
9/18/22 19:24,Caguas,250514,198851
9/18/22 19:24,Mayaguez,216605,131690
9/18/22 19:24,Ponce,212508,145379
9/18/22 19:24,San Juan,253068,78373
9/19/22 8:12,Arecibo,177369,190499
9/19/22 8:12,Bayamon,216496,124121
9/19/22 8:12,Carolina,141663,89087
9/19/22 8:12,Caguas,250514,237625
9/19/22 8:12,Mayaguez,216605,211670
9/19/22 8:12,Ponce,212508,153786
9/19/22 8:12,San Juan,253068,61363
9/19/22 11:09,Arecibo,177369,191765
9/19/22 11:09,Bayamon,216496,124218
9/19/22 11:09,Carolina,141663,87880
9/19/22 11:09,Caguas,250514,237637
9/19/22 11:09,Mayaguez,216605,211675
9/19/22 11:09,Ponce,212508,153791
9/19/22 11:09,San Juan,253068,62950
9/21/22 21:21,Arecibo,177369,174000
9/21/22 21:21,Bayamon,216496,121000
9/21/22 21:21,Carolina,141663,69000
9/21/22 21:21,Caguas,250514,237000
9/21/22 21:21,Mayaguez,216605,188500
9/21/22 21:21,Ponce,212508,169500
9/21/22 21:21,San Juan,253068,89000
9/22/22 8:16,Arecibo,177369,171000
9/22/22 8:16,Bayamon,216496,89000
9/22/22 8:16,Carolina,141663,44000
9/22/22 8:16,Caguas,250514,228000
9/22/22 8:16,Mayaguez,216605,201500
9/22/22 8:16,Ponce,212508,170000
9/22/22 8:16,San Juan,253068,65000
9/22/22 17:03,Arecibo,177369,171000
9/22/22 17:03,Bayamon,216496,89000
9/22/22 17:03,Carolina,141663,44000
9/22/22 17:03,Caguas,250514,225500
9/22/22 17:03,Mayaguez,216605,202000
9/22/22 17:03,Ponce,212508,170000
9/22/22 17:03,San Juan,253068,57000
9/23/22 8:43,Arecibo,177369,176000
9/23/22 8:43,Bayamon,216496,69000
9/23/22 8:43,Carolina,141663,38500
9/23/22 8:43,Caguas,250514,197000
9/23/22 8:43,Mayaguez,216605,201500
9/23/22 8:43,Ponce,212508,202500
9/23/22 8:43,San Juan,253068,42000
9/23/22 12:49,Arecibo,177369,174912
9/23/22 12:49,Bayamon,216496,40051
9/23/22 12:49,Carolina,141663,23567
9/23/22 12:49,Caguas,250514,184590
9/23/22 12:49,Mayaguez,216605,197979
9/23/22 12:49,Ponce,212508,204845
9/23/22 12:49,San Juan,253068,30603
9/23/22 15:25,Arecibo,177369,174033
9/23/22 15:25,Bayamon,216496,45601
9/23/22 15:25,Carolina,141663,23078
9/23/22 15:25,Caguas,250514,181247
9/23/22 15:25,Mayaguez,216605,204244
9/23/22 15:25,Ponce,212508,204862
9/23/22 15:25,San Juan,253068,30900
9/23/22 18:51,Arecibo,177369,170577
9/23/22 18:51,Bayamon,216496,38214
9/23/22 18:51,Carolina,141663,23845
9/23/22 18:51,Caguas,250514,183104
9/23/22 18:51,Mayaguez,216605,206489
9/23/22 18:51,Ponce,212508,204876
9/23/22 18:51,San Juan,253068,32643
9/24/22 9:38,Arecibo,177369,146352
9/24/22 9:38,Bayamon,216496,42511
9/24/22 9:38,Carolina,141663,21146
9/24/22 9:38,Caguas,250514,172745
9/24/22 9:38,Mayaguez,216605,183108
9/24/22 9:38,Ponce,212508,189508
9/24/22 9:38,San Juan,253068,29850
9/24/22 16:39,Arecibo,177369,144149
9/24/22 16:39,Bayamon,216496,48483
9/24/22 16:39,Carolina,141663,28886
9/24/22 16:39,Caguas,250514,171383
9/24/22 16:39,Mayaguez,216605,200822
9/24/22 16:39,Ponce,212508,200766
9/24/22 16:39,San Juan,253068,33757
9/24/22 19:36,Arecibo,177369,128494
9/24/22 19:36,Bayamon,216496,36261
9/24/22 19:36,Carolina,141663,19268
9/24/22 19:36,Caguas,250514,160253
9/24/22 19:36,Mayaguez,216605,200570
9/24/22 19:36,Ponce,212508,199730
9/24/22 19:36,San Juan,253068,32113
9/25/22 11:19,Arecibo,177369,129560
9/25/22 11:19,Bayamon,216496,32318
9/25/22 11:19,Carolina,141663,18878
9/25/22 11:19,Caguas,250514,163722
9/25/22 11:19,Mayaguez,216605,203934
9/25/22 11:19,Ponce,212508,198392
9/25/22 11:19,San Juan,253068,32386
9/25/22 16:27,Arecibo,177369,121440
9/25/22 16:27,Bayamon,216496,49734
9/25/22 16:27,Carolina,141663,29068
9/25/22 16:27,Caguas,250514,166081
9/25/22 16:27,Mayaguez,216605,202900
9/25/22 16:27,Ponce,212508,198438
9/25/22 16:27,San Juan,253068,39570
9/26/22 8:40,Arecibo,177369,84337
9/26/22 8:40,Bayamon,216496,26349
9/26/22 8:40,Carolina,141663,21571
9/26/22 8:40,Caguas,250514,105068
9/26/22 8:40,Mayaguez,216605,182004
9/26/22 8:40,Ponce,212508,178557
9/26/22 8:40,San Juan,253068,33227
9/26/22 13:55,Arecibo,177369,86246
9/26/22 13:55,Bayamon,216496,20916
9/26/22 13:55,Carolina,141663,13555
