outage_data_id,total_clients,clients_without_power_service,region_id,source_id,source_last_updated_on,data_fetched_on
1233,177369,99,1,1,00:05.4,00:02.9
1235,141663,2,3,1,00:06.7,00:02.9
1237,216605,32,5,1,00:17.8,00:02.9
1239,253068,38,7,1,00:20.8,00:02.9
1241,216496,416,2,1,00:04.6,00:03.0
1243,250514,169,4,1,00:10.5,00:03.0
1245,212508,40,6,1,00:13.1,00:03.0
1247,177369,99,1,1,00:04.9,00:04.1
1249,141663,3,3,1,00:06.7,00:04.1
1251,216605,182,5,1,00:07.5,00:04.1
1253,253068,40,7,1,00:17.1,00:04.1
1255,216496,473,2,1,00:08.4,00:04.7
1257,250514,207,4,1,00:10.6,00:04.7
1259,212508,22,6,1,00:12.7,00:04.7
1261,177369,110,1,1,00:06.7,00:04.0
1263,141663,39,3,1,00:07.2,00:04.0
1265,216605,183,5,1,00:11.9,00:04.0
1267,253068,45,7,1,00:12.9,00:04.0
1269,216496,802,2,1,00:06.1,00:03.1
1271,250514,617,4,1,00:24.4,00:03.1
1273,212508,662,6,1,00:37.4,00:03.1
1275,177369,3683,1,1,00:04.9,00:03.5
1277,141663,25,3,1,00:05.4,00:03.5
1279,216605,10,5,1,00:05.9,00:03.5
1281,253068,233,7,1,00:07.2,00:03.5
1283,216496,580,2,1,00:05.7,00:04.0
1285,250514,8783,4,1,00:06.9,00:04.0
1287,212508,17,6,1,00:07.6,00:04.0
1289,177369,435,1,1,00:05.0,00:04.0
1291,141663,262,3,1,00:09.1,00:04.0
1293,216605,12,5,1,00:10.2,00:04.0
1295,253068,3063,7,1,00:25.7,00:04.0
1297,216496,869,2,1,00:04.0,00:02.6
1299,250514,8754,4,1,00:05.0,00:02.6
1301,212508,26,6,1,00:06.9,00:02.6
36,177369,57,1,1,00:06.7,00:05.0
37,216496,3,2,1,00:06.9,00:05.0
38,141663,1,3,1,00:07.7,00:05.0
39,250514,2,4,1,00:07.9,00:05.0
40,216605,101,5,1,00:09.2,00:05.0
41,212508,8,6,1,00:09.5,00:05.0
42,253068,7,7,1,00:09.7,00:05.0
43,177369,67,1,1,00:05.5,00:04.8
44,216496,3,2,1,00:23.1,00:04.8
45,141663,287,3,1,00:25.5,00:04.8
46,250514,2,4,1,00:26.2,00:04.8
47,216605,102,5,1,00:26.9,00:04.8
48,212508,8,6,1,00:28.8,00:04.8
49,253068,7,7,1,00:31.4,00:04.8
50,177369,67,1,1,00:11.0,00:06.9
51,216496,3,2,1,00:11.5,00:06.9
52,141663,287,3,1,00:14.8,00:06.9
53,250514,2,4,1,00:15.0,00:06.9
54,216605,103,5,1,00:15.2,00:06.9
55,212508,8,6,1,00:15.6,00:06.9
56,253068,122,7,1,00:16.4,00:06.9
57,177369,67,1,1,00:07.3,00:05.1
58,216496,4,2,1,00:07.7,00:05.1
59,141663,1,3,1,00:08.1,00:05.1
60,250514,2,4,1,00:08.4,00:05.1
61,216605,102,5,1,00:09.2,00:05.1
62,212508,7,6,1,00:09.6,00:05.1
63,253068,557,7,1,00:10.2,00:05.1
