outage_data_id,total_clients,clients_without_power_service,region_id,source_id,source_last_updated_on,data_fetched_on,region_name
1233,177369,99,1,1,2022-12-04 09:00:05.353301,2022-12-04 09:00:02.885186,Arecibo
1235,141663,2,3,1,2022-12-04 09:00:06.668811,2022-12-04 09:00:02.885186,Carolina
1237,216605,32,5,1,2022-12-04 09:00:17.766940,2022-12-04 09:00:02.885186,Mayagüez
1239,253068,38,7,1,2022-12-04 09:00:20.805875,2022-12-04 09:00:02.885186,San Juan
1241,216496,416,2,1,2022-12-04 10:00:04.635524,2022-12-04 10:00:03.041090,Bayamón
1243,250514,169,4,1,2022-12-04 10:00:10.510563,2022-12-04 10:00:03.041090,Caguas
1245,212508,40,6,1,2022-12-04 10:00:13.075921,2022-12-04 10:00:03.041090,Ponce
1247,177369,99,1,1,2022-12-04 11:00:04.893764,2022-12-04 11:00:04.118056,Arecibo
1249,141663,3,3,1,2022-12-04 11:00:06.716760,2022-12-04 11:00:04.118056,Carolina
1251,216605,182,5,1,2022-12-04 11:00:07.491945,2022-12-04 11:00:04.118056,Mayagüez
1253,253068,40,7,1,2022-12-04 11:00:17.134315,2022-12-04 11:00:04.118056,San Juan
1255,216496,473,2,1,2022-12-04 12:00:08.436647,2022-12-04 12:00:04.710572,Bayamón
1257,250514,207,4,1,2022-12-04 12:00:10.602289,2022-12-04 12:00:04.710572,Caguas
1259,212508,22,6,1,2022-12-04 12:00:12.713176,2022-12-04 12:00:04.710572,Ponce
1261,177369,110,1,1,2022-12-04 13:00:06.719932,2022-12-04 13:00:04.004657,Arecibo
1263,141663,39,3,1,2022-12-04 13:00:07.218848,2022-12-04 13:00:04.004657,Carolina
1265,216605,183,5,1,2022-12-04 13:00:11.875900,2022-12-04 13:00:04.004657,Mayagüez
1267,253068,45,7,1,2022-12-04 13:00:12.922524,2022-12-04 13:00:04.004657,San Juan
1269,216496,802,2,1,2022-12-04 14:00:06.132100,2022-12-04 14:00:03.051626,Bayamón
1271,250514,617,4,1,2022-12-04 14:00:24.373568,2022-12-04 14:00:03.051626,Caguas
1273,212508,662,6,1,2022-12-04 14:00:37.448494,2022-12-04 14:00:03.051626,Ponce
1275,177369,3683,1,1,2022-12-04 15:00:04.856923,2022-12-04 15:00:03.549531,Arecibo
1277,141663,25,3,1,2022-12-04 15:00:05.370789,2022-12-04 15:00:03.549531,Carolina
1279,216605,10,5,1,2022-12-04 15:00:05.927825,2022-12-04 15:00:03.549531,Mayagüez
1281,253068,233,7,1,2022-12-04 15:00:07.196961,2022-12-04 15:00:03.549531,San Juan
1283,216496,580,2,1,2022-12-04 16:00:05.737976,2022-12-04 16:00:03.995097,Bayamón
1285,250514,8783,4,1,2022-12-04 16:00:06.928072,2022-12-04 16:00:03.995097,Caguas
1287,212508,17,6,1,2022-12-04 16:00:07.642169,2022-12-04 16:00:03.995097,Ponce
1289,177369,435,1,1,2022-12-04 17:00:04.983783,2022-12-04 17:00:04.008801,Arecibo
1291,141663,262,3,1,2022-12-04 17:00:09.069845,2022-12-04 17:00:04.008801,Carolina
1293,216605,12,5,1,2022-12-04 17:00:10.167407,2022-12-04 17:00:04.008801,Mayagüez
1295,253068,3063,7,1,2022-12-04 17:00:25.659534,2022-12-04 17:00:04.008801,San Juan
1297,216496,869,2,1,2022-12-04 18:00:03.957826,2022-12-04 18:00:02.612470,Bayamón
1299,250514,8754,4,1,2022-12-04 18:00:05.019655,2022-12-04 18:00:02.612470,Caguas
1301,212508,26,6,1,2022-12-04 18:00:06.908933,2022-12-04 18:00:02.612470,Ponce
36,177369,57,1,1,2022-11-27 05:00:06.664959,2022-11-27 05:00:05.037711,Arecibo
37,216496,3,2,1,2022-11-27 05:00:06.917905,2022-11-27 05:00:05.037711,Bayamón
38,141663,1,3,1,2022-11-27 05:00:07.699797,2022-11-27 05:00:05.037711,Carolina
39,250514,2,4,1,2022-11-27 05:00:07.918388,2022-11-27 05:00:05.037711,Caguas
40,216605,101,5,1,2022-11-27 05:00:09.153907,2022-11-27 05:00:05.037711,Mayagüez
41,212508,8,6,1,2022-11-27 05:00:09.496563,2022-11-27 05:00:05.037711,Ponce
42,253068,7,7,1,2022-11-27 05:00:09.749366,2022-11-27 05:00:05.037711,San Juan
43,177369,67,1,1,2022-11-27 06:00:05.517834,2022-11-27 06:00:04.784292,Arecibo
44,216496,3,2,1,2022-11-27 06:00:23.080419,2022-11-27 06:00:04.784292,Bayamón
45,141663,287,3,1,2022-11-27 06:00:25.474863,2022-11-27 06:00:04.784292,Carolina
46,250514,2,4,1,2022-11-27 06:00:26.156317,2022-11-27 06:00:04.784292,Caguas
47,216605,102,5,1,2022-11-27 06:00:26.931386,2022-11-27 06:00:04.784292,Mayagüez
48,212508,8,6,1,2022-11-27 06:00:28.777227,2022-11-27 06:00:04.784292,Ponce
49,253068,7,7,1,2022-11-27 06:00:31.390903,2022-11-27 06:00:04.784292,San Juan
50,177369,67,1,1,2022-11-27 07:00:11.048025,2022-11-27 07:00:06.944943,Arecibo
51,216496,3,2,1,2022-11-27 07:00:11.514036,2022-11-27 07:00:06.944943,Bayamón
52,141663,287,3,1,2022-11-27 07:00:14.771422,2022-11-27 07:00:06.944943,Carolina
53,250514,2,4,1,2022-11-27 07:00:14.993448,2022-11-27 07:00:06.944943,Caguas
54,216605,103,5,1,2022-11-27 07:00:15.245331,2022-11-27 07:00:06.944943,Mayagüez
55,212508,8,6,1,2022-11-27 07:00:15.551015,2022-11-27 07:00:06.944943,Ponce
56,253068,122,7,1,2022-11-27 07:00:16.432422,2022-11-27 07:00:06.944943,San Juan
57,177369,67,1,1,2022-11-27 08:00:07.326983,2022-11-27 08:00:05.056968,Arecibo
58,216496,4,2,1,2022-11-27 08:00:07.688854,2022-11-27 08:00:05.056968,Bayamón
59,141663,1,3,1,2022-11-27 08:00:08.129734,2022-11-27 08:00:05.056968,Carolina
60,250514,2,4,1,2022-11-27 08:00:08.399794,2022-11-27 08:00:05.056968,Caguas
61,216605,102,5,1,2022-11-27 08:00:09.182288,2022-11-27 08:00:05.056968,Mayagüez
62,212508,7,6,1,2022-11-27 08:00:09.611820,2022-11-27 08:00:05.056968,Ponce
63,253068,557,7,1,2022-11-27 08:00:10.248576,2022-11-27 08:00:05.056968,San Juan
64,177369,67,1,1,2022-11-27 09:00:07.659187,2022-11-27 09:00:03.320014,Arecibo
65,216496,3,2,1,2022-11-27 09:00:09.055084,2022-11-27 09:00:03.320014,Bayamón
66,141663,1,3,1,2022-11-27 09:00:11.708366,2022-11-27 09:00:03.320014,Carolina
67,250514,2,4,1,2022-11-27 09:00:12.096840,2022-11-27 09:00:03.320014,Caguas
68,216605,102,5,1,2022-11-27 09:00:15.492730,2022-11-27 09:00:03.320014,Mayagüez
69,212508,7,6,1,2022-11-27 09:00:16.820536,2022-11-27 09:00:03.320014,Ponce
70,253068,399,7,1,2022-11-27 09:00:22.942204,2022-11-27 09:00:03.320014,San Juan
71,177369,67,1,1,2022-11-27 10:00:19.671820,2022-11-27 10:00:04.847206,Arecibo
72,216496,3,2,1,2022-11-27 10:00:19.930741,2022-11-27 10:00:04.847206,Bayamón
73,141663,0,3,1,2022-11-27 10:00:20.617717,2022-11-27 10:00:04.847206,Carolina
74,250514,0,4,1,2022-11-27 10:00:20.857651,2022-11-27 10:00:04.847206,Caguas
75,216605,0,5,1,2022-11-27 10:00:21.736574,2022-11-27 10:00:04.847206,Mayagüez
